x y Depth Vs
457.3858 284.1479 40.0 3.905
457.3858 284.1479 40.1 3.905
457.3858 284.1479 40.2 3.905
457.3858 284.1479 40.3 3.905
457.3858 284.1479 40.4 3.905
457.3858 284.1479 40.5 3.905
457.3858 284.1479 40.6 3.905
457.3858 284.1479 40.7 3.905
457.3858 284.1479 40.8 3.905
457.3858 284.1479 40.9 3.905
457.3858 284.1479 41.0 3.905
457.3858 284.1479 41.1 3.905
457.3858 284.1479 41.2 3.905
457.3858 284.1479 41.3 3.905
457.3858 284.1479 41.4 3.905
457.3858 284.1479 41.5 3.905
457.3858 284.1479 41.6 3.905
457.3858 284.1479 41.7 3.905
457.3858 284.1479 41.8 3.905
457.3858 284.1479 41.9 3.905
457.3858 284.1479 42.0 3.905
457.3858 284.1479 42.1 3.905
457.3858 284.1479 42.2 3.905
457.3858 284.1479 42.3 3.905
457.3858 284.1479 42.4 3.905
457.3858 284.1479 42.5 3.905
457.3858 284.1479 42.6 3.905
457.3858 284.1479 42.7 3.905
457.3858 284.1479 42.8 3.905
457.3858 284.1479 42.9 3.905
457.3858 284.1479 43.0 3.905
457.3858 284.1479 43.1 3.905
457.3858 284.1479 43.2 3.905
457.3858 284.1479 43.3 3.905
457.3858 284.1479 43.4 3.905
457.3858 284.1479 43.5 3.905
457.3858 284.1479 43.6 3.905
457.3858 284.1479 43.7 3.905
457.3858 284.1479 43.8 3.905
457.3858 284.1479 43.9 3.905
457.3858 284.1479 44.0 3.905
457.3858 284.1479 44.1 3.905
457.3858 284.1479 44.2 3.905
457.3858 284.1479 44.3 3.905
457.3858 284.1479 44.4 3.905
457.3858 284.1479 44.5 3.905
457.3858 284.1479 44.6 3.905
457.3858 284.1479 44.7 3.905
457.3858 284.1479 44.8 3.905
457.3858 284.1479 44.9 4.363
457.3858 284.1479 45.0 4.363
457.3858 284.1479 45.1 4.363
457.3858 284.1479 45.2 4.363
457.3858 284.1479 45.3 4.363
457.3858 284.1479 45.4 4.363
457.3858 284.1479 45.5 4.363
457.3858 284.1479 45.6 4.363
457.3858 284.1479 45.7 4.363
457.3858 284.1479 45.8 4.363
457.3858 284.1479 45.9 4.363
457.3858 284.1479 46.0 4.363
457.3858 284.1479 46.1 4.363
457.3858 284.1479 46.2 4.363
457.3858 284.1479 46.3 4.363
457.3858 284.1479 46.4 4.363
457.3858 284.1479 46.5 4.363
457.3858 284.1479 46.6 4.363
457.3858 284.1479 46.7 4.363
457.3858 284.1479 46.8 4.363
457.3858 284.1479 46.9 4.363
457.3858 284.1479 47.0 4.363
457.3858 284.1479 47.1 4.363
457.3858 284.1479 47.2 4.363
457.3858 284.1479 47.3 4.363
457.3858 284.1479 47.4 4.363
457.3858 284.1479 47.5 4.363
457.3858 284.1479 47.6 4.363
457.3858 284.1479 47.7 4.363
457.3858 284.1479 47.8 4.363
457.3858 284.1479 47.9 4.363
457.3858 284.1479 48.0 4.363
457.3858 284.1479 48.1 4.363
457.3858 284.1479 48.2 4.704
457.3858 284.1479 48.3 4.704
457.3858 284.1479 48.4 4.704
457.3858 284.1479 48.5 4.704
457.3858 284.1479 48.6 4.704
457.3858 284.1479 48.7 4.704
457.3858 284.1479 48.8 4.704
457.3858 284.1479 48.9 4.704
457.3858 284.1479 49.0 4.704
457.3858 284.1479 49.1 4.704
457.3858 284.1479 49.2 4.704
457.3858 284.1479 49.3 4.704
457.3858 284.1479 49.4 4.704
457.3858 284.1479 49.5 4.704
457.3858 284.1479 49.6 4.704
457.3858 284.1479 49.7 4.704
457.3858 284.1479 49.8 4.704
457.3858 284.1479 49.9 4.704
457.3858 284.1479 50.0 4.704
457.3858 284.1479 50.1 4.704
457.3858 284.1479 50.2 4.704
457.3858 284.1479 50.3 4.704
457.3858 284.1479 50.4 4.704
457.3858 284.1479 50.5 4.704
457.3858 284.1479 50.6 4.704
457.3858 284.1479 50.7 4.704
457.3858 284.1479 50.8 4.704
457.3858 284.1479 50.9 4.704
457.3858 284.1479 51.0 4.704
457.3858 284.1479 51.1 4.704
457.3858 284.1479 51.2 4.704
457.3858 284.1479 51.3 4.704
457.3858 284.1479 51.4 4.704
457.3858 284.1479 51.5 4.704
457.3858 284.1479 51.6 4.704
457.3858 284.1479 51.7 4.704
457.3858 284.1479 51.8 4.704
457.3858 284.1479 51.9 4.704
457.3858 284.1479 52.0 4.704
457.3858 284.1479 52.1 4.704
457.3858 284.1479 52.2 4.704
457.3858 284.1479 52.3 4.704
457.3858 284.1479 52.4 4.704
457.3858 284.1479 52.5 4.704
457.3858 284.1479 52.6 4.704
457.3858 284.1479 52.7 4.704
457.3858 284.1479 52.8 4.704
457.3858 284.1479 52.9 4.704
457.3858 284.1479 53.0 4.704
457.3858 284.1479 53.1 4.704
457.3858 284.1479 53.2 4.704
457.3858 284.1479 53.3 4.704
457.3858 284.1479 53.4 4.704
457.3858 284.1479 53.5 4.704
457.3858 284.1479 53.6 4.704
457.3858 284.1479 53.7 4.704
457.3858 284.1479 53.8 4.704
457.3858 284.1479 53.9 4.704
457.3858 284.1479 54.0 4.704
457.3858 284.1479 54.1 4.704
457.3858 284.1479 54.2 4.704
457.3858 284.1479 54.3 4.704
457.3858 284.1479 54.4 4.704
457.3858 284.1479 54.5 4.704
457.3858 284.1479 54.6 4.704
457.3858 284.1479 54.7 4.704
457.3858 284.1479 54.8 4.704
457.3858 284.1479 54.9 4.704
457.3858 284.1479 55.0 4.704
457.3858 284.1479 55.1 4.704
457.3858 284.1479 55.2 4.704
457.3858 284.1479 55.3 4.704
457.3858 284.1479 55.4 4.704
457.3858 284.1479 55.5 4.704
457.3858 284.1479 55.6 4.704
457.3858 284.1479 55.7 4.704
457.3858 284.1479 55.8 4.704
457.3858 284.1479 55.9 4.704
457.3858 284.1479 56.0 4.704
457.3858 284.1479 56.1 4.704
457.3858 284.1479 56.2 4.704
457.3858 284.1479 56.3 4.704
457.3858 284.1479 56.4 4.704
457.3858 284.1479 56.5 4.704
457.3858 284.1479 56.6 4.704
457.3858 284.1479 56.7 4.704
457.3858 284.1479 56.8 4.704
457.3858 284.1479 56.9 4.704
457.3858 284.1479 57.0 4.704
457.3858 284.1479 57.1 4.704
457.3858 284.1479 57.2 4.704
457.3858 284.1479 57.3 4.704
457.3858 284.1479 57.4 4.704
457.3858 284.1479 57.5 4.704
457.3858 284.1479 57.6 4.704
457.3858 284.1479 57.7 4.704
457.3858 284.1479 57.8 4.704
457.3858 284.1479 57.9 4.704
457.3858 284.1479 58.0 4.704
457.3858 284.1479 58.1 4.704
457.3858 284.1479 58.2 4.704
457.3858 284.1479 58.3 4.704
457.3858 284.1479 58.4 4.704
457.3858 284.1479 58.5 4.704
457.3858 284.1479 58.6 4.704
457.3858 284.1479 58.7 4.704
457.3858 284.1479 58.8 4.704
457.3858 284.1479 58.9 4.704
457.3858 284.1479 59.0 4.704
