,Scale,NNb,RMSE
70,2.0,142.0,0.05048746410263307
71,2.0,144.0,0.05069736312120711
72,2.0,146.0,0.05091024061938488
73,2.0,148.0,0.05111917439548362
74,2.0,150.0,0.05132630445416629
75,4.0,2.0,0.019984348146497875
76,4.0,4.0,0.02115396099202496
77,4.0,6.0,0.022102766461114913
78,4.0,8.0,0.023543791261366128
79,4.0,10.0,0.02455784655191213
80,4.0,12.0,0.025550631340187795
81,4.0,14.0,0.02640334463057456
82,4.0,16.0,0.027221223857814936
83,4.0,18.0,0.027988883542341955
84,4.0,20.0,0.028720694673277945
85,4.0,22.0,0.02945233340095242
86,4.0,24.0,0.030156261483703047
87,4.0,26.0,0.030810348861502582
88,4.0,28.0,0.03146565657819238
89,4.0,30.0,0.03209847226489037
90,4.0,32.0,0.032733842940302744
91,4.0,34.0,0.03333969366823536
92,4.0,36.0,0.033916991192207306
93,4.0,38.0,0.03450099457691356
94,4.0,40.0,0.03506028730891734
95,4.0,42.0,0.03560875522250205
